cod_variedad,cod_articulo,variedad,itbis_alt1,itbis_alt2,itbis_alt3,itbis_alt4
4280,62311,Análisis de ALT,0,0,0,0
4281,62311,Análisis de Bilirrubina (total / fracciones),0,0,0,0
4282,62311,Análisis de B-hcg,0,0,0,0
4283,62311,Análisis de Calcio,0,0,0,0
4284,62311,Análisis de clamidia (IgG/IgM),0,0,0,0
4285,62311,Análisis de colesterol total,0,0,0,0
4286,62311,Análisis de colesterol (HDL/LDL),0,0,0,0
4292,62311,Análisis de CA,0,0,0,0
4297,62311,Análisis de digestión en heces,0,0,0,0
4298,62311,Análisis de electroforesis,0,0,0,0
4301,62311,Análisis de eritrosedimentación,0,0,0,0
4305,62311,Análisis de ferritina,0,0,0,0
4307,62311,Análisis de fosfatasa alcalina,0,0,0,0
4308,62311,Análisis de fosfatasa acida,0,0,0,0
4309,62311,Análisis de FTA-Abs,0,0,0,0
4311,62311,Análisis de GTP,0,0,0,0
4312,62311,Análisis de hemocultivo,0,0,0,0
4313,62311,Análisis de herpes I y II (IgG/IgM),0,0,0,0
4315,62311,Análisis de hemoglobina glucosilada (HbA1c),0,0,0,0
4318,62311,Análisis de inmunoglobulinas(IgA-IgG-IgM),0,0,0,0
4319,62311,Análisis de LDH,0,0,0,0
4320,62311,Análisis de magnesio,0,0,0,0
4321,62311,Análisis de microambumina cuantitativa (24h),0,0,0,0
4322,62311,Análisis de monotest,0,0,0,0
4323,62311,Análisis de progesterona,0,0,0,0
4324,62311,Análisis de prolactina,0,0,0,0
4325,62311,Análisis de proteínas (totales/fraccionada),0,0,0,0
4326,62311,Análisis de PCR,0,0,0,0
4327,62311,Análisis de potasio (k),0,0,0,0
4328,62311,Análisis de PSA (total/%),0,0,0,0
4330,62311,Análisis de TS,0,0,0,0
4331,62311,Análisis de TC,0,0,0,0
4332,62311,Análisis de TP,0,0,0,0
4333,62311,Análisis de TTP,0,0,0,0
4334,62311,Análisis de Toxo (igG/IgM),0,0,0,0
4335,62311,Análisis de T3,0,0,0,0
4336,62311,Análisis de T4,0,0,0,0
4337,62311,Análisis de T4 libre,0,0,0,0
4338,62311,Análisis de TSH,0,0,0,0
4339,62311,Análisis de nitrógeno ureico (BUN),0,0,0,0
4340,62311,Análisis de urocultivo,0,0,0,0
4374,11921,Agrio de naranja,,10,16,
4379,11921,Alhucema,,10,16,
4399,11921,Cilantro molido,,10,16,
4400,11921,Comino,,10,16,
4401,11921,Diten o tomillo,,10,16,
4403,11711,Habichuela Yacomelo,,10,16,
4404,11921,Hoja de ruda,,10,16,
4405,11921,Hoja de sen,,10,16,
4406,11132,"Maíz triturado (para chaca, chenchén, etc.)",,10,16,
4413,11911,Sal en grano,,10,16,
4414,11311,Pescado lisa o anguila,,10,16,
4538,104111,pag1o de materiales de la universidad,0,0,0,0
4540,104111,Derecho a graduación,0,0,0,0
4541,104111,Derecho a tesis,0,0,0,0
4690,95311,Folleto,,10,,
4698,62111,Consulta maxilofacial,0,0,0,0
4704,62311,Placa panorámica,0,0,0,0
4707,11222,Salami de pavo,,10,16,
4708,104111,Cuota de diplomado,0,0,0,0
4709,62111,Consulta de traumatológico,0,0,0,0
4813,105111,Inscripción curso de farmacia,,10,,
4823,62311,Electromiografía,0,0,0,0
4882,11222,Salami de pollo,,10,16,
4884,11921,Perejil seco el polvo,,10,16,
4888,11311,Pescado sable,,10,16,
4901,62311,Análisis osteoporosis,0,0,0,0
4904,61311,Placa metálica para pierna,0,0,0,0
4905,61311,Placa metálica para cadera,0,0,0,0
4906,62311,Cultivo de Secreción vaginal,0,0,0,0
4913,11113,Arepa dulce,,10,16,
4914,11113,Arepa salada,,10,16,
4921,11411,Leche líquida con fresa,,10,,
4925,61311,Anteojos de corrección con prescripción médica,0,0,0,0
4926,61311,Lentes de contacto con prescripción médico,0,0,0,0
4948,11921,Cilantro en grano,,10,16,
4969,105111,Cuota de curso de música,,10,,
4974,101111,pag1o por derecho a exámenes de educación preescolar,0,0,0,0
4986,11113,Croquetas de pollo,,10,,
4988,11113,Pastelito de pollo y vegetales,,10,16,
5001,62311,Análisis de SGP3,0,0,0,0
5002,62311,Análisis de Transaminasa glutámico (SGOT),0,0,0,0
5042,11113,Palitos de ajo,,10,16,
5102,95221,Revista cristiana,,10,,
5129,95121,Caligrafía,,10,,
