esc_sens,activo,comp_size1,comp_size2,comp_size3,comp_size4,comp_size5,comp_share1,comp_share2,comp_share3,comp_share4,comp_share5,sen_sim1,sen_sim2,sen_sim3,sen_sim4,sen_sim5
1,1,1,1.25,1.5,2,3,0.87,0.87,0.87,0.87,0.87,3,4,9,10,
2,1,1,1,1,1,1,0.87,0.905,0.93,0.95,0.97,3,4,9,10,
