cod_variedad,cod_articulo,cod_subclase,cod_clase,cod_subgrupo,cod_grupo
283,11451,1145,114,11,1
286,11451,,,,
287,11461,1146,114,11,1
288,11461,1146,114,11,1
289,11461,1146,114,11,1
290,11461,1146,114,11,1
291,11461,,,,
293,11511,1151,115,11,1
294,11511,1151,115,11,1
295,11511,1151,115,11,1
296,11511,1151,115,11,1
297,11511,1151,115,11,1
298,11511,,,,
299,11511,1151,115,11,1
300,11511,1151,115,11,1
301,11511,,,,
303,11521,1152,115,11,1
304,11521,1152,115,11,1
306,11521,1152,115,11,1
307,11521,1152,115,11,1
308,11522,1152,115,11,1
309,11522,1152,115,11,1
311,11611,1161,116,11,1
312,11611,1161,116,11,1
313,11611,1161,116,11,1
314,11611,1161,116,11,1
315,11611,1161,116,11,1
316,11611,1161,116,11,1
317,11611,1161,116,11,1
318,11611,1161,116,11,1
319,11611,1161,116,11,1
320,11611,1161,116,11,1
321,11611,1161,116,11,1
322,11611,1161,116,11,1
323,11611,1161,116,11,1
324,11611,1161,116,11,1
325,11611,1161,116,11,1
326,11611,1161,116,11,1
327,11611,1161,116,11,1
328,11611,1161,116,11,1
329,11611,1161,116,11,1
330,11611,1161,116,11,1
331,11611,1161,116,11,1
332,11611,1161,116,11,1
334,11611,1161,116,11,1
335,11611,1161,116,11,1
336,11611,1161,116,11,1
337,11611,1161,116,11,1
339,11611,1161,116,11,1
340,11611,1161,116,11,1
341,11611,1161,116,11,1
342,11611,1161,116,11,1
343,11611,,,,
344,11611,1161,116,11,1
345,11611,1161,116,11,1
346,11611,1161,116,11,1
347,11611,1161,116,11,1
348,11611,1161,116,11,1
349,11611,,,,
350,11611,1161,116,11,1
351,11611,1161,116,11,1
352,11611,1161,116,11,1
353,11611,1161,116,11,1
355,11621,1162,116,11,1
356,11621,1162,116,11,1
357,11621,,,,
359,11621,1162,116,11,1
361,11621,,,,
362,11621,,,,
363,11621,1162,116,11,1
365,11621,1162,116,11,1
366,11711,1171,117,11,1
367,11711,1171,117,11,1
368,11711,1171,117,11,1
369,11711,1171,117,11,1
370,11711,1171,117,11,1
371,11711,1171,117,11,1
372,11711,1171,117,11,1
373,11711,1171,117,11,1
374,11711,1171,117,11,1
375,11711,1171,117,11,1
376,11711,1171,117,11,1
377,11711,1171,117,11,1
378,11711,1171,117,11,1
379,11711,1171,117,11,1
380,11711,1171,117,11,1
382,11712,1171,117,11,1
383,11712,1171,117,11,1
384,11712,1171,117,11,1
385,11712,1171,117,11,1
386,11712,1171,117,11,1
388,11712,1171,117,11,1
389,11712,1171,117,11,1
390,11712,1171,117,11,1
391,11713,,,,
392,11713,1171,117,11,1
393,11713,1171,117,11,1
394,11713,1171,117,11,1
395,11713,1171,117,11,1
396,11713,1171,117,11,1
397,11713,1171,117,11,1
398,11713,1171,117,11,1
399,11713,1171,117,11,1
400,11713,1171,117,11,1
401,11713,1171,117,11,1
402,11713,1171,117,11,1
403,11713,1171,117,11,1
404,11713,1171,117,11,1
405,11713,1171,117,11,1
406,11713,1171,117,11,1
407,11713,1171,117,11,1
408,11713,1171,117,11,1
409,11713,1171,117,11,1
410,11713,1171,117,11,1
411,11713,,,,
412,11713,1171,117,11,1
413,11713,1171,117,11,1
414,11713,1171,117,11,1
415,11713,1171,117,11,1
416,11713,1171,117,11,1
417,11713,1171,117,11,1
418,11713,1171,117,11,1
419,11713,1171,117,11,1
420,11713,1171,117,11,1
422,11713,1171,117,11,1
423,11713,1171,117,11,1
425,11713,,,,
426,11713,1171,117,11,1
427,11713,1171,117,11,1
428,11713,,,,
429,11713,1171,117,11,1
430,11713,1171,117,11,1
431,11713,1171,117,11,1
432,11713,1171,117,11,1
433,11721,1172,117,11,1
434,11721,1172,117,11,1
435,11721,1172,117,11,1
436,11721,1172,117,11,1
437,11721,1172,117,11,1
438,11721,1172,117,11,1
439,11721,1172,117,11,1
440,11721,1172,117,11,1
441,11721,1172,117,11,1
442,11721,1172,117,11,1
443,11721,1172,117,11,1
445,11721,1172,117,11,1
446,11721,1172,117,11,1
447,11721,1172,117,11,1
448,11721,,,,
449,11721,1172,117,11,1
450,11721,1172,117,11,1
451,11721,1172,117,11,1
452,11713,1171,117,11,1
453,11721,1172,117,11,1
455,11731,1173,117,11,1
456,11731,1173,117,11,1
457,11731,1173,117,11,1
458,11811,1181,118,11,1
459,11811,1181,118,11,1
460,11811,,,,
461,11811,,,,
463,11812,1181,118,11,1
464,11812,1181,118,11,1
465,11821,1182,118,11,1
466,11821,1182,118,11,1
467,11821,1182,118,11,1
468,11821,1182,118,11,1
469,11821,1182,118,11,1
470,11821,1182,118,11,1
476,11821,1182,118,11,1
477,11821,1182,118,11,1
478,11821,1182,118,11,1
479,11821,1182,118,11,1
480,11113,1111,111,11,1
481,11113,1111,111,11,1
482,11451,1145,114,11,1
483,11821,1182,118,11,1
484,11821,1182,118,11,1
486,11821,,,,
487,11821,1182,118,11,1
488,11831,1183,118,11,1
489,11831,1183,118,11,1
