COD_GRUPO,DES_GRUPO,COD_SUBGRUPO,DES_SUBGRUPO,COD_CLASE,DES_CLASE,COD_SUBCLASE,DES_SUBCLASE,COD_ARTICULO,DES_ARTICULO,ID_VARIEDAD,DES_VARIEDAD,tasa,grupo,gravado,cod_arancelario,codigo_mip,sector2
1,ALIMENTOS Y BEBIDAS NO ALCOHOLICAS,11,ALIMENTOS,111,Pan y cereales (ND),1111,Productos de Panadería,11111,Pan,1,Pan de agua,0,exentos,0,19 05,4,8
1,ALIMENTOS Y BEBIDAS NO ALCOHOLICAS,11,ALIMENTOS,111,Pan y cereales (ND),1111,Productos de Panadería,11111,Pan,2,Pan sobado,0,exentos,0,19 05,4,8
1,ALIMENTOS Y BEBIDAS NO ALCOHOLICAS,11,ALIMENTOS,111,Pan y cereales (ND),1111,Productos de Panadería,11111,Pan,3,Pan de leche,0,exentos,0,19 05,4,8
1,ALIMENTOS Y BEBIDAS NO ALCOHOLICAS,11,ALIMENTOS,111,Pan y cereales (ND),1111,Productos de Panadería,11113,Otros productos de panadería,4,Pan de maíz entero,0,exentos,0,19 05,4,8
1,ALIMENTOS Y BEBIDAS NO ALCOHOLICAS,11,ALIMENTOS,111,Pan y cereales (ND),1111,Productos de Panadería,11111,Pan,5,Pan de mantequilla,0,exentos,0,19 05,4,8
1,ALIMENTOS Y BEBIDAS NO ALCOHOLICAS,11,ALIMENTOS,111,Pan y cereales (ND),1111,Productos de Panadería,11111,Pan,6,Pan baguette blanco,0,exentos,0,19 05,4,8
1,ALIMENTOS Y BEBIDAS NO ALCOHOLICAS,11,ALIMENTOS,111,Pan y cereales (ND),1111,Productos de Panadería,11111,Pan,7,Pan baguette integral,0,exentos,0,19 05,4,8
1,ALIMENTOS Y BEBIDAS NO ALCOHOLICAS,11,ALIMENTOS,111,Pan y cereales (ND),1111,Productos de Panadería,11111,Pan,8,Pan camarón,0,exentos,0,19 05,4,8
1,ALIMENTOS Y BEBIDAS NO ALCOHOLICAS,11,ALIMENTOS,111,Pan y cereales (ND),1111,Productos de Panadería,11111,Pan,9,Pan integral,0,exentos,0,19 05,4,8
1,ALIMENTOS Y BEBIDAS NO ALCOHOLICAS,11,ALIMENTOS,111,Pan y cereales (ND),1111,Productos de Panadería,11111,Pan,10,Pan telera,0,exentos,0,19 05,4,8
1,ALIMENTOS Y BEBIDAS NO ALCOHOLICAS,11,ALIMENTOS,111,Pan y cereales (ND),1111,Productos de Panadería,11111,Pan,12,Pan de pita,0,exentos,0,19 05,4,8
1,ALIMENTOS Y BEBIDAS NO ALCOHOLICAS,11,ALIMENTOS,111,Pan y cereales (ND),1111,Productos de Panadería,11111,Pan,13,Pan de sándwich rebanado blanco,0,exentos,0,19 05,4,8
1,ALIMENTOS Y BEBIDAS NO ALCOHOLICAS,11,ALIMENTOS,111,Pan y cereales (ND),1111,Productos de Panadería,11111,Pan,14,Pan de sándwich rebanado integral,0,exentos,0,19 05,4,8
1,ALIMENTOS Y BEBIDAS NO ALCOHOLICAS,11,ALIMENTOS,111,Pan y cereales (ND),1111,Productos de Panadería,11111,Pan,15,Pan de hot dog,0,exentos,0,19 05,4,8
1,ALIMENTOS Y BEBIDAS NO ALCOHOLICAS,11,ALIMENTOS,111,Pan y cereales (ND),1111,Productos de Panadería,11112,Galletas y masas secas,17,Galletas con ajonjolí,0,exentos,0,,4,8
1,ALIMENTOS Y BEBIDAS NO ALCOHOLICAS,11,ALIMENTOS,111,Pan y cereales (ND),1111,Productos de Panadería,11112,Galletas y masas secas,18,Galletas de harina / Galleta de manteca,0,exentos,0,,4,8
1,ALIMENTOS Y BEBIDAS NO ALCOHOLICAS,11,ALIMENTOS,111,Pan y cereales (ND),1111,Productos de Panadería,11112,Galletas y masas secas,19,Galletas de soda,18,normal,1,,4,7
1,ALIMENTOS Y BEBIDAS NO ALCOHOLICAS,11,ALIMENTOS,111,Pan y cereales (ND),1111,Productos de Panadería,11112,Galletas y masas secas,20,Galletas dulces,0,exentos,0,,4,8
1,ALIMENTOS Y BEBIDAS NO ALCOHOLICAS,11,ALIMENTOS,111,Pan y cereales (ND),1111,Productos de Panadería,11112,Galletas y masas secas,21,Galletas integrales,0,exentos,0,,4,8
1,ALIMENTOS Y BEBIDAS NO ALCOHOLICAS,11,ALIMENTOS,111,Pan y cereales (ND),1111,Productos de Panadería,11112,Galletas y masas secas,22,Galletas María,0,exentos,0,,4,8
